dataset,eval_model,model,score,attack,adv_a_position,removal,defense,adv_per_query,M,repeat,no_questions,both_sides,total_topk_num,total_adv_num,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
hotpotqa,contriever,meta,dot,hotflip,start,none,none,3,10,10,1,0,500,300,0.60%,5.06,28.00%,68.00%,,
hotpotqa,contriever,meta,dot,hotflip,end,none,none,3,10,10,1,0,500,300,0.60%,5.02,30.00%,66.00%,,
hotpotqa,contriever,meta,cos,hotflip,start,none,none,3,10,10,1,0,500,300,0.60%,3.95,24.00%,76.00%,,
hotpotqa,contriever,meta,cos,hotflip,end,none,none,3,10,10,1,0,500,300,0.60%,3.86,28.00%,70.00%,,
hotpotqa,contriever,meta,dot,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.60%,47.34,68.00%,21.00%,,
hotpotqa,contriever,meta,dot,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.60%,53.23,68.00%,23.00%,,
hotpotqa,contriever,meta,cos,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.60%,45.71,64.00%,30.00%,,
hotpotqa,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.32%,32.05,34.00%,56.00%,0.27%,0.47%
hotpotqa,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.01%,32.08,67.00%,7.00%,0.07%,0.98%
hotpotqa,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.03%,34.08,68.00%,10.00%,0.02%,0.95%
hotpotqa,contriever,meta,cos,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.60%,52.65,65.00%,24.00%,,
hotpotqa,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.48%,44.67,29.00%,63.00%,0.10%,0.20%
hotpotqa,contriever,meta,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.01%,71.03,78.00%,6.00%,0.07%,0.98%
hotpotqa,contriever,meta,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.03%,72.87,78.00%,5.00%,0.02%,0.95%
hotpotqa,contriever,meta,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.32%,54.78,64.00%,22.00%,0.27%,0.47%
hotpotqa,contriever,meta,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.48%,59.56,67.00%,21.00%,0.10%,0.20%
hotpotqa,contriever,meta,dot,hotflip,start,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
hotpotqa,contriever,meta,dot,hotflip,end,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
hotpotqa,contriever,meta,cos,hotflip,start,kmeans_ngram,none,3,10,10,1,0,500,300,0.00%,11.49,59.00%,8.00%,0.41%,1.00%
hotpotqa,contriever,meta,cos,hotflip,end,kmeans_ngram,none,3,10,10,1,0,500,300,0.00%,9.44,61.00%,7.00%,0.42%,0.99%
hotpotqa,contriever,meta,dot,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
hotpotqa,contriever,meta,dot,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
hotpotqa,contriever,meta,cos,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.00%,99.71,65.00%,4.00%,0.42%,0.99%
hotpotqa,contriever,meta,cos,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.00%,49.94,66.00%,3.00%,0.41%,1.00%
hotpotqa,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.01%,32.58,67.00%,7.00%,0.09%,0.98%
hotpotqa,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.32%,25.92,33.00%,55.00%,0.30%,0.47%
hotpotqa,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.48%,26.83,24.00%,66.00%,0.32%,0.20%
hotpotqa,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.03%,34.07,69.00%,9.00%,0.13%,0.95%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.48%,24.92,26.00%,67.00%,0.10%,0.20%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.48%,75.13,70.00%,22.00%,0.10%,0.20%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.01%,34.81,68.00%,11.00%,0.07%,0.98%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.03%,38.80,70.00%,12.00%,0.02%,0.95%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.32%,27.29,33.00%,62.00%,0.27%,0.47%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.01%,67.80,77.00%,6.00%,0.07%,0.98%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.03%,65.20,81.00%,3.00%,0.02%,0.95%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.32%,54.23,73.00%,20.00%,0.27%,0.47%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.01%,41.00,68.00%,11.00%,0.09%,0.98%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.03%,34.44,69.00%,12.00%,0.13%,0.95%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.32%,27.78,33.00%,61.00%,0.30%,0.47%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.48%,30.00,25.00%,70.00%,0.32%,0.20%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,none,none,3,10,10,1,1,,,,,,,,
msmarco,contriever,meta,dot,hotflip,start,none,none,3,10,10,1,0,500,300,0.59%,4.82,21.00%,75.00%,,
msmarco,contriever,meta,dot,hotflip,end,none,none,3,10,10,1,0,500,300,0.59%,5.97,28.00%,68.00%,,
msmarco,contriever,meta,cos,hotflip,start,none,none,3,10,10,1,0,500,300,0.50%,3.55,26.00%,69.00%,,
msmarco,contriever,meta,cos,hotflip,end,none,none,3,10,10,1,0,500,300,0.58%,4.54,23.00%,71.00%,,
msmarco,contriever,meta,dot,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.59%,40.77,79.00%,13.00%,,
msmarco,contriever,meta,dot,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.59%,34.68,78.00%,17.00%,,
msmarco,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.11%,29.93,66.00%,22.00%,0.19%,0.81%
msmarco,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.44%,40.46,33.00%,62.00%,0.08%,0.26%
msmarco,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.02%,32.75,77.00%,11.00%,0.07%,0.97%
msmarco,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.04%,34.61,74.00%,11.00%,0.03%,0.93%
msmarco,contriever,meta,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.11%,79.77,89.00%,4.00%,0.19%,0.81%
msmarco,contriever,meta,cos,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.50%,34.12,82.00%,16.00%,,
msmarco,contriever,meta,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.02%,64.04,87.00%,7.00%,0.07%,0.97%
msmarco,contriever,meta,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.04%,68.24,86.00%,7.00%,0.03%,0.93%
msmarco,contriever,meta,cos,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.58%,31.79,83.00%,13.00%,,
msmarco,contriever,meta,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.44%,58.31,82.00%,15.00%,0.08%,0.26%
msmarco,contriever,meta,dot,hotflip,end,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
msmarco,contriever,meta,dot,hotflip,start,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
msmarco,contriever,meta,cos,hotflip,start,kmeans_ngram,none,3,10,10,1,0,500,300,0.04%,14.48,72.00%,12.00%,0.45%,0.93%
msmarco,contriever,meta,cos,hotflip,end,kmeans_ngram,none,3,10,10,1,0,500,300,0.03%,11.21,76.00%,8.00%,0.47%,0.95%
msmarco,contriever,meta,dot,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
msmarco,contriever,meta,dot,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
msmarco,contriever,meta,cos,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.04%,43.76,88.00%,5.00%,0.45%,0.93%
msmarco,contriever,meta,cos,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.03%,37.55,86.00%,5.00%,0.47%,0.95%
msmarco,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.05%,31.56,75.00%,10.00%,0.16%,0.92%
msmarco,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.02%,31.26,77.00%,11.00%,0.08%,0.97%
msmarco,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.11%,29.64,65.00%,23.00%,0.22%,0.81%
msmarco,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.42%,31.49,35.00%,61.00%,0.25%,0.29%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.44%,30.88,35.00%,61.00%,0.08%,0.26%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.44%,66.92,80.00%,16.00%,0.08%,0.26%
