2025-05-14 06:33:03 | INFO     | __main__:main:130 | Experiment Name -- dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_conflict-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-14 06:33:06 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_test.pkl exists. Loading data...
2025-05-14 06:33:12 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_answers.pkl exists. Loading data...
2025-05-14 06:33:12 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on hotpotqa
2025-05-14 06:33:12 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-14 06:33:12 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/hotpotqa-contriever.json.
2025-05-14 06:33:12 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-14 06:33:12 | INFO     | __main__:main:192 | load retrieval models
2025-05-14 06:33:13 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-14 06:33:13 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-14 06:33:13 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-14 06:34:14 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [60.9s elapsed, 0.0 it/s]
2025-05-14 06:35:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [121.6s elapsed, 0.0 it/s]
2025-05-14 06:36:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [181.8s elapsed, 0.0 it/s]
2025-05-14 06:37:16 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [242.2s elapsed, 0.0 it/s]
2025-05-14 06:38:16 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [302.6s elapsed, 0.0 it/s]
2025-05-14 06:39:17 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [363.2s elapsed, 0.0 it/s]
2025-05-14 06:40:17 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [423.7s elapsed, 0.0 it/s]
2025-05-14 06:41:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [484.5s elapsed, 0.0 it/s]
2025-05-14 06:42:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [545.0s elapsed, 0.0 it/s]
