2025-05-18 06:23:50 | INFO     | __main__:main:130 | Experiment Name -- dataset_hotpotqa-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides
2025-05-18 06:23:52 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_test.pkl exists. Loading data...
2025-05-18 06:23:58 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_answers.pkl exists. Loading data...
2025-05-18 06:23:58 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on hotpotqa
2025-05-18 06:23:58 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 06:23:58 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/hotpotqa-contriever-cos.json.
2025-05-18 06:23:58 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 06:23:58 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 06:23:59 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 06:23:59 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 06:23:59 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 06:24:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.3s elapsed, 0.0 it/s]
2025-05-18 06:25:54 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [114.7s elapsed, 0.0 it/s]
2025-05-18 06:26:50 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [171.5s elapsed, 0.0 it/s]
2025-05-18 06:27:47 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [228.5s elapsed, 0.0 it/s]
2025-05-18 06:28:44 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [285.0s elapsed, 0.0 it/s]
2025-05-18 06:29:42 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [343.0s elapsed, 0.0 it/s]
2025-05-18 06:30:39 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [400.1s elapsed, 0.0 it/s]
2025-05-18 06:31:37 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [457.6s elapsed, 0.0 it/s]
2025-05-18 06:32:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [514.9s elapsed, 0.0 it/s]
2025-05-18 06:33:31 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [572.5s elapsed, 0.0 it/s]
2025-05-18 06:33:31 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 06:33:32 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.20 seconds
2025-05-18 06:33:32 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.12 seconds
2025-05-18 06:33:32 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.23 seconds
2025-05-18 06:33:32 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.24 seconds
2025-05-18 06:33:32 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.18 seconds
2025-05-18 06:33:32 | INFO     | src.utils:update:256 | Processing target queries: 5/10 [1.0s elapsed, 5.0 it/s]
2025-05-18 06:33:33 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.14 seconds
2025-05-18 06:33:33 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.24 seconds
2025-05-18 06:33:33 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.27 seconds
2025-05-18 06:33:33 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.23 seconds
2025-05-18 06:33:34 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.28 seconds
2025-05-18 06:33:34 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.2s elapsed, 4.5 it/s]
2025-05-18 06:33:34 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [574.7s elapsed, 0.0 it/s]
