2025-05-18 05:12:51 | INFO     | __main__:main:130 | Experiment Name -- dataset_hotpotqa-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides
2025-05-18 05:12:53 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_test.pkl exists. Loading data...
2025-05-18 05:12:59 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_answers.pkl exists. Loading data...
2025-05-18 05:12:59 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on hotpotqa
2025-05-18 05:12:59 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 05:12:59 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/hotpotqa-contriever.json.
2025-05-18 05:12:59 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 05:12:59 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 05:13:00 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 05:13:00 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 05:13:00 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 05:13:55 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [54.8s elapsed, 0.0 it/s]
2025-05-18 05:14:50 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [109.4s elapsed, 0.0 it/s]
2025-05-18 05:15:44 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [163.4s elapsed, 0.0 it/s]
2025-05-18 05:16:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [217.4s elapsed, 0.0 it/s]
2025-05-18 05:17:33 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [272.6s elapsed, 0.0 it/s]
2025-05-18 05:18:27 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [326.5s elapsed, 0.0 it/s]
2025-05-18 05:19:21 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [380.4s elapsed, 0.0 it/s]
2025-05-18 05:20:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [434.5s elapsed, 0.0 it/s]
2025-05-18 05:21:09 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [488.6s elapsed, 0.0 it/s]
2025-05-18 05:22:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [542.8s elapsed, 0.0 it/s]
2025-05-18 05:22:03 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 05:22:03 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.24 seconds
2025-05-18 05:22:03 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.11 seconds
2025-05-18 05:22:04 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.22 seconds
2025-05-18 05:22:04 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.19 seconds
2025-05-18 05:22:04 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.33 seconds
2025-05-18 05:22:04 | INFO     | src.utils:update:256 | Processing target queries: 5/10 [1.1s elapsed, 4.4 it/s]
2025-05-18 05:22:04 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.26 seconds
2025-05-18 05:22:05 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.28 seconds
2025-05-18 05:22:05 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.30 seconds
2025-05-18 05:22:05 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.18 seconds
2025-05-18 05:22:05 | INFO     | src.utils:update:256 | Processing target queries: 9/10 [2.2s elapsed, 4.1 it/s]
2025-05-18 05:22:05 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.31 seconds
2025-05-18 05:22:05 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.5s elapsed, 4.0 it/s]
2025-05-18 05:22:05 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [545.3s elapsed, 0.0 it/s]
2025-05-18 05:22:05 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 05:22:05 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 05:23:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.1s elapsed, 0.0 it/s]
2025-05-18 05:23:57 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [111.6s elapsed, 0.0 it/s]
2025-05-18 05:24:51 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [165.9s elapsed, 0.0 it/s]
2025-05-18 05:25:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [220.1s elapsed, 0.0 it/s]
2025-05-18 05:26:40 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [274.2s elapsed, 0.0 it/s]
2025-05-18 05:27:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [328.5s elapsed, 0.0 it/s]
