2025-05-14 12:26:59 | INFO     | __main__:main:130 | Experiment Name -- dataset_msmarco-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_conflict-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-14 12:27:01 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_train.pkl exists. Loading data...
2025-05-14 12:27:11 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_answers.pkl exists. Loading data...
2025-05-14 12:27:11 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on msmarco
2025-05-14 12:27:11 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-14 12:27:11 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/msmarco-contriever.json.
2025-05-14 12:27:11 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-14 12:27:11 | INFO     | __main__:main:192 | load retrieval models
2025-05-14 12:27:13 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-14 12:27:13 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-14 12:27:13 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-14 12:28:06 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [53.3s elapsed, 0.0 it/s]
2025-05-14 12:28:59 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [106.1s elapsed, 0.0 it/s]
2025-05-14 12:29:51 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [158.6s elapsed, 0.0 it/s]
2025-05-14 12:30:44 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [211.5s elapsed, 0.0 it/s]
2025-05-14 12:31:37 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [264.3s elapsed, 0.0 it/s]
2025-05-14 12:32:30 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [317.2s elapsed, 0.0 it/s]
2025-05-14 12:33:23 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [369.9s elapsed, 0.0 it/s]
2025-05-14 12:34:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [422.5s elapsed, 0.0 it/s]
2025-05-14 12:35:08 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [475.2s elapsed, 0.0 it/s]
