2025-05-15 18:48:32 | INFO     | __main__:main:130 | Experiment Name -- dataset_msmarco-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-15 18:48:52 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_train.pkl exists. Loading data...
2025-05-15 18:49:54 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_answers.pkl exists. Loading data...
2025-05-15 18:49:54 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on msmarco
2025-05-15 18:49:54 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-15 18:49:54 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/msmarco-contriever-cos.json.
2025-05-15 18:50:05 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-15 18:50:05 | INFO     | __main__:main:192 | load retrieval models
2025-05-15 18:50:15 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-15 18:50:15 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-15 18:50:15 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-15 18:51:33 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [78.0s elapsed, 0.0 it/s]
2025-05-15 18:52:43 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [147.4s elapsed, 0.0 it/s]
2025-05-15 18:53:50 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [214.9s elapsed, 0.0 it/s]
2025-05-15 18:54:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [270.4s elapsed, 0.0 it/s]
2025-05-15 18:55:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [325.9s elapsed, 0.0 it/s]
2025-05-15 18:56:37 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [381.3s elapsed, 0.0 it/s]
2025-05-15 18:57:32 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [436.6s elapsed, 0.0 it/s]
