2025-05-13 18:48:33 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_LM_targeted-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-13 18:48:35 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-13 18:48:39 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-13 18:48:39 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-13 18:48:39 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-13 18:48:39 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-13 18:48:39 | INFO     | __main__:main:190 | Attack method: LM_targeted
2025-05-13 18:48:39 | INFO     | __main__:main:192 | load retrieval models
2025-05-13 18:48:40 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-13 18:48:40 | INFO     | src.attack:__init__:75 | Initializing attacker with method: LM_targeted
2025-05-13 18:48:41 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-13 18:48:41 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.20 seconds
2025-05-13 18:48:41 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.07 seconds
2025-05-13 18:48:41 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.10 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.15 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.08 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.12 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.09 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.18 seconds
2025-05-13 18:48:42 | INFO     | src.utils:update:256 | Processing target queries: 8/10 [1.1s elapsed, 7.5 it/s]
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.14 seconds
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.12 seconds
2025-05-13 18:48:42 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.3s elapsed, 7.5 it/s]
2025-05-13 18:48:42 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [1.9s elapsed, 0.5 it/s]
2025-05-13 18:48:42 | INFO     | src.attack:__init__:75 | Initializing attacker with method: LM_targeted
2025-05-13 18:48:42 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-13 18:48:42 | INFO     | __main__:timed:49 | [Iter_1_question_10_removal] took 0.15 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_11_removal] took 0.11 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_12_removal] took 0.10 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_13_removal] took 0.08 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_14_removal] took 0.09 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_15_removal] took 0.08 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_16_removal] took 0.14 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_17_removal] took 0.15 seconds
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_18_removal] took 0.10 seconds
2025-05-13 18:48:43 | INFO     | src.utils:update:256 | Processing target queries: 9/10 [1.1s elapsed, 8.5 it/s]
2025-05-13 18:48:43 | INFO     | __main__:timed:49 | [Iter_1_question_19_removal] took 0.10 seconds
2025-05-13 18:48:43 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.2s elapsed, 8.6 it/s]
2025-05-13 18:48:43 | INFO     | src.utils:update:256 | Processing iterations: 2/10 [3.1s elapsed, 0.6 it/s]
2025-05-13 18:48:43 | INFO     | src.attack:__init__:75 | Initializing attacker with method: LM_targeted
2025-05-13 18:48:43 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_20_removal] took 0.10 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_21_removal] took 0.14 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_22_removal] took 0.15 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_23_removal] took 0.13 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_24_removal] took 0.10 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_25_removal] took 0.08 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_26_removal] took 0.09 seconds
2025-05-13 18:48:44 | INFO     | __main__:timed:49 | [Iter_2_question_27_removal] took 0.10 seconds
2025-05-13 18:48:45 | INFO     | __main__:timed:49 | [Iter_2_question_28_removal] took 0.11 seconds
2025-05-13 18:48:45 | INFO     | src.utils:update:256 | Processing target queries: 9/10 [1.1s elapsed, 8.4 it/s]
2025-05-13 18:48:45 | INFO     | __main__:timed:49 | [Iter_2_question_29_removal] took 0.10 seconds
2025-05-13 18:48:45 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.2s elapsed, 8.5 it/s]
2025-05-13 18:48:45 | INFO     | src.utils:update:256 | Processing iterations: 3/10 [4.3s elapsed, 0.7 it/s]
2025-05-13 18:48:45 | INFO     | src.attack:__init__:75 | Initializing attacker with method: LM_targeted
2025-05-13 18:48:45 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
