2025-05-15 20:44:40 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_conflict-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-15 20:44:43 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-15 20:45:58 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-15 20:45:58 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-15 20:45:58 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-15 20:45:58 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever-cos.json.
2025-05-15 20:45:59 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-15 20:45:59 | INFO     | __main__:main:192 | load retrieval models
2025-05-15 20:46:00 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-15 20:46:00 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-15 20:46:00 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-15 20:46:58 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [58.6s elapsed, 0.0 it/s]
2025-05-15 20:47:53 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [113.0s elapsed, 0.0 it/s]
2025-05-15 20:48:47 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [167.3s elapsed, 0.0 it/s]
2025-05-15 20:49:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [221.6s elapsed, 0.0 it/s]
2025-05-15 20:50:36 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [275.9s elapsed, 0.0 it/s]
2025-05-15 20:51:30 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [330.4s elapsed, 0.0 it/s]
2025-05-15 20:52:24 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [384.6s elapsed, 0.0 it/s]
2025-05-15 20:53:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [438.8s elapsed, 0.0 it/s]
2025-05-15 20:54:13 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [492.9s elapsed, 0.0 it/s]
2025-05-15 20:55:07 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [547.1s elapsed, 0.0 it/s]
2025-05-15 20:55:07 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-15 20:55:07 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.33 seconds
2025-05-15 20:55:07 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.10 seconds
2025-05-15 20:55:07 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.16 seconds
2025-05-15 20:55:08 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.16 seconds
2025-05-15 20:55:08 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.16 seconds
2025-05-15 20:55:08 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.31 seconds
