2025-05-18 01:14:57 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides
2025-05-18 01:15:00 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-18 01:15:03 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-18 01:15:03 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-18 01:15:03 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 01:15:03 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-18 01:15:05 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 01:15:05 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 01:15:06 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 01:15:06 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 01:15:06 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 01:16:11 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [65.0s elapsed, 0.0 it/s]
2025-05-18 01:17:07 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [121.4s elapsed, 0.0 it/s]
2025-05-18 01:18:04 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [177.7s elapsed, 0.0 it/s]
2025-05-18 01:19:00 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [234.1s elapsed, 0.0 it/s]
2025-05-18 01:19:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [290.4s elapsed, 0.0 it/s]
2025-05-18 01:20:53 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [346.7s elapsed, 0.0 it/s]
2025-05-18 01:21:49 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [403.0s elapsed, 0.0 it/s]
2025-05-18 01:22:45 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [459.2s elapsed, 0.0 it/s]
2025-05-18 01:23:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [515.5s elapsed, 0.0 it/s]
2025-05-18 01:24:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [571.9s elapsed, 0.0 it/s]
2025-05-18 01:24:38 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 01:24:38 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.18 seconds
2025-05-18 01:24:38 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.12 seconds
2025-05-18 01:24:38 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.22 seconds
2025-05-18 01:24:39 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.25 seconds
2025-05-18 01:24:39 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.24 seconds
2025-05-18 01:24:39 | INFO     | src.utils:update:256 | Processing target queries: 5/10 [1.0s elapsed, 4.8 it/s]
2025-05-18 01:24:39 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.31 seconds
2025-05-18 01:24:39 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.24 seconds
2025-05-18 01:24:40 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.29 seconds
2025-05-18 01:24:40 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.28 seconds
2025-05-18 01:24:40 | INFO     | src.utils:update:256 | Processing target queries: 9/10 [2.2s elapsed, 4.1 it/s]
2025-05-18 01:24:40 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.25 seconds
2025-05-18 01:24:40 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.5s elapsed, 4.1 it/s]
2025-05-18 01:24:40 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [574.3s elapsed, 0.0 it/s]
2025-05-18 01:24:40 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 01:24:40 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 01:25:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.9s elapsed, 0.0 it/s]
2025-05-18 01:26:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [114.1s elapsed, 0.0 it/s]
2025-05-18 01:27:30 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [170.1s elapsed, 0.0 it/s]
2025-05-18 01:28:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [226.2s elapsed, 0.0 it/s]
2025-05-18 01:29:23 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [282.2s elapsed, 0.0 it/s]
2025-05-18 01:30:19 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [338.3s elapsed, 0.0 it/s]
2025-05-18 01:31:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [394.5s elapsed, 0.0 it/s]
2025-05-18 01:32:11 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [450.8s elapsed, 0.0 it/s]
2025-05-18 01:33:07 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [506.8s elapsed, 0.0 it/s]
2025-05-18 01:34:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [563.0s elapsed, 0.0 it/s]
2025-05-18 01:34:03 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 01:34:04 | INFO     | __main__:timed:49 | [Iter_1_question_10_removal] took 0.31 seconds
2025-05-18 01:34:04 | INFO     | __main__:timed:49 | [Iter_1_question_11_removal] took 0.29 seconds
2025-05-18 01:34:04 | INFO     | __main__:timed:49 | [Iter_1_question_12_removal] took 0.26 seconds
2025-05-18 01:34:04 | INFO     | __main__:timed:49 | [Iter_1_question_13_removal] took 0.20 seconds
2025-05-18 01:34:04 | INFO     | src.utils:update:256 | Processing target queries: 4/10 [1.1s elapsed, 3.7 it/s]
2025-05-18 01:34:05 | INFO     | __main__:timed:49 | [Iter_1_question_14_removal] took 0.25 seconds
2025-05-18 01:34:05 | INFO     | __main__:timed:49 | [Iter_1_question_15_removal] took 0.25 seconds
2025-05-18 01:34:05 | INFO     | __main__:timed:49 | [Iter_1_question_16_removal] took 0.29 seconds
2025-05-18 01:34:05 | INFO     | __main__:timed:49 | [Iter_1_question_17_removal] took 0.30 seconds
2025-05-18 01:34:05 | INFO     | src.utils:update:256 | Processing target queries: 8/10 [2.2s elapsed, 3.6 it/s]
2025-05-18 01:34:06 | INFO     | __main__:timed:49 | [Iter_1_question_18_removal] took 0.26 seconds
2025-05-18 01:34:06 | INFO     | __main__:timed:49 | [Iter_1_question_19_removal] took 0.26 seconds
2025-05-18 01:34:06 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.8s elapsed, 3.6 it/s]
2025-05-18 01:34:06 | INFO     | src.utils:update:256 | Processing iterations: 2/10 [1140.1s elapsed, 0.0 it/s]
2025-05-18 01:34:06 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 01:34:06 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
