2025-05-16 18:50:22 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_conflict-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-16 18:50:24 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-16 18:50:28 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-16 18:50:28 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-16 18:50:28 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-16 18:50:28 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-16 18:50:28 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-16 18:50:28 | INFO     | __main__:main:192 | load retrieval models
2025-05-16 18:50:29 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-16 18:50:29 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 18:50:29 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 18:51:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.2s elapsed, 0.0 it/s]
2025-05-16 18:52:21 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [111.7s elapsed, 0.0 it/s]
2025-05-16 18:53:15 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [166.0s elapsed, 0.0 it/s]
2025-05-16 18:54:11 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [222.1s elapsed, 0.0 it/s]
2025-05-16 18:55:06 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [276.5s elapsed, 0.0 it/s]
2025-05-16 18:55:59 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [330.0s elapsed, 0.0 it/s]
2025-05-16 18:56:53 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [383.6s elapsed, 0.0 it/s]
2025-05-16 18:57:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [437.2s elapsed, 0.0 it/s]
2025-05-16 18:58:40 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [490.9s elapsed, 0.0 it/s]
2025-05-16 18:59:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [544.6s elapsed, 0.0 it/s]
2025-05-16 18:59:34 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 18:59:34 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.36 seconds
2025-05-16 18:59:34 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.08 seconds
2025-05-16 18:59:34 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.11 seconds
2025-05-16 18:59:34 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.15 seconds
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.08 seconds
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.12 seconds
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.08 seconds
2025-05-16 18:59:35 | INFO     | src.utils:update:256 | Processing target queries: 7/10 [1.0s elapsed, 6.7 it/s]
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.17 seconds
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.14 seconds
2025-05-16 18:59:35 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.14 seconds
2025-05-16 18:59:35 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.5s elapsed, 6.6 it/s]
2025-05-16 18:59:35 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [546.1s elapsed, 0.0 it/s]
2025-05-16 18:59:35 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 18:59:35 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 19:00:31 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [55.7s elapsed, 0.0 it/s]
2025-05-16 19:01:25 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [110.1s elapsed, 0.0 it/s]
2025-05-16 19:02:20 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [164.4s elapsed, 0.0 it/s]
2025-05-16 19:03:14 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [218.8s elapsed, 0.0 it/s]
2025-05-16 19:04:08 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [273.1s elapsed, 0.0 it/s]
2025-05-16 19:05:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [327.6s elapsed, 0.0 it/s]
2025-05-16 19:05:57 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [382.0s elapsed, 0.0 it/s]
2025-05-16 19:06:52 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [436.6s elapsed, 0.0 it/s]
2025-05-16 19:07:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [491.0s elapsed, 0.0 it/s]
2025-05-16 19:08:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [545.8s elapsed, 0.0 it/s]
2025-05-16 19:08:41 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 19:08:41 | INFO     | __main__:timed:49 | [Iter_1_question_10_removal] took 0.10 seconds
