2025-05-16 18:47:15 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_conflict-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-16 18:47:17 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-16 18:47:21 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-16 18:47:21 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-16 18:47:21 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-16 18:47:21 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-16 18:47:21 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-16 18:47:21 | INFO     | __main__:main:192 | load retrieval models
2025-05-16 18:47:22 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-16 18:47:22 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 18:47:22 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 18:48:19 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.4s elapsed, 0.0 it/s]
2025-05-16 18:49:14 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [111.5s elapsed, 0.0 it/s]
2025-05-16 18:50:08 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [165.6s elapsed, 0.0 it/s]
2025-05-16 18:51:02 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [219.8s elapsed, 0.0 it/s]
2025-05-16 18:51:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [273.8s elapsed, 0.0 it/s]
2025-05-16 18:52:50 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [327.9s elapsed, 0.0 it/s]
2025-05-16 18:53:44 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [381.9s elapsed, 0.0 it/s]
2025-05-16 18:54:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [436.0s elapsed, 0.0 it/s]
2025-05-16 18:55:32 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [490.0s elapsed, 0.0 it/s]
2025-05-16 18:56:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [544.0s elapsed, 0.0 it/s]
2025-05-16 18:56:26 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.42 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.09 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.11 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.14 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.08 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.12 seconds
2025-05-16 18:56:27 | INFO     | src.utils:update:256 | Processing target queries: 6/10 [1.0s elapsed, 5.9 it/s]
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.08 seconds
2025-05-16 18:56:27 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.17 seconds
2025-05-16 18:56:28 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.14 seconds
2025-05-16 18:56:28 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.12 seconds
