2025-05-15 23:49:17 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-15 23:49:19 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-15 23:49:23 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-15 23:49:23 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-15 23:49:23 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-15 23:49:23 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever-cos.json.
2025-05-15 23:49:23 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-15 23:49:23 | INFO     | __main__:main:192 | load retrieval models
2025-05-15 23:49:25 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-15 23:49:25 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-15 23:49:25 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-15 23:50:22 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [57.7s elapsed, 0.0 it/s]
2025-05-15 23:51:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [113.2s elapsed, 0.0 it/s]
2025-05-15 23:52:13 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [168.5s elapsed, 0.0 it/s]
2025-05-15 23:53:10 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [225.2s elapsed, 0.0 it/s]
2025-05-15 23:54:05 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [280.7s elapsed, 0.0 it/s]
2025-05-15 23:55:01 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [336.0s elapsed, 0.0 it/s]
2025-05-15 23:55:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [391.4s elapsed, 0.0 it/s]
2025-05-15 23:56:51 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [446.8s elapsed, 0.0 it/s]
2025-05-15 23:57:47 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [502.1s elapsed, 0.0 it/s]
2025-05-15 23:58:42 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [557.5s elapsed, 0.0 it/s]
2025-05-15 23:58:42 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-15 23:58:42 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.33 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.07 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.07 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.09 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | src.utils:update:256 | Processing target queries: 9/10 [1.0s elapsed, 8.6 it/s]
2025-05-15 23:58:43 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.08 seconds
2025-05-15 23:58:43 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.1s elapsed, 8.8 it/s]
