2025-05-12 20:14:39 | INFO     | __main__:main:129 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-12 20:14:42 | INFO     | src.utils:load_cached_data:34 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-12 20:14:45 | INFO     | src.utils:load_cached_data:34 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-12 20:14:45 | INFO     | __main__:main:167 | Please evaluate on BEIR first -- contriever on nq
2025-05-12 20:14:45 | INFO     | __main__:main:171 | Now try to get beir eval results from results/beir_results/...
2025-05-12 20:14:45 | INFO     | __main__:main:183 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-12 20:14:46 | INFO     | __main__:main:189 | Attack method: hotflip
2025-05-12 20:14:46 | INFO     | __main__:main:191 | load retrieval models
2025-05-12 20:14:47 | INFO     | src.utils:__init__:239 | Starting Processing iterations: 0/10
2025-05-12 20:14:47 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 20:14:47 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 20:15:48 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [60.7s elapsed, 0.0 it/s]
2025-05-12 20:16:47 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [119.7s elapsed, 0.0 it/s]
2025-05-12 20:17:43 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [176.1s elapsed, 0.0 it/s]
2025-05-12 20:18:39 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [232.5s elapsed, 0.0 it/s]
2025-05-12 20:19:36 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [288.9s elapsed, 0.0 it/s]
2025-05-12 20:20:32 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [345.2s elapsed, 0.0 it/s]
2025-05-12 20:21:28 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [401.5s elapsed, 0.0 it/s]
2025-05-12 20:22:25 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [457.8s elapsed, 0.0 it/s]
2025-05-12 20:23:21 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [514.5s elapsed, 0.0 it/s]
2025-05-12 20:24:18 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [571.3s elapsed, 0.0 it/s]
2025-05-12 20:24:18 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 20:24:18 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 133.8 it/s]
2025-05-12 20:24:18 | INFO     | src.utils:update:248 | Processing iterations: 1/10 [571.4s elapsed, 0.0 it/s]
2025-05-12 20:24:18 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 20:24:18 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 20:25:18 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [59.9s elapsed, 0.0 it/s]
2025-05-12 20:26:17 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [118.5s elapsed, 0.0 it/s]
2025-05-12 20:27:14 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [176.2s elapsed, 0.0 it/s]
2025-05-12 20:28:10 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [232.1s elapsed, 0.0 it/s]
2025-05-12 20:29:06 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [288.1s elapsed, 0.0 it/s]
2025-05-12 20:30:04 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [345.8s elapsed, 0.0 it/s]
2025-05-12 20:30:59 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [401.0s elapsed, 0.0 it/s]
2025-05-12 20:31:54 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [456.3s elapsed, 0.0 it/s]
2025-05-12 20:32:50 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [511.4s elapsed, 0.0 it/s]
2025-05-12 20:33:49 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [570.5s elapsed, 0.0 it/s]
2025-05-12 20:33:49 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 20:33:49 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 139.3 it/s]
2025-05-12 20:33:49 | INFO     | src.utils:update:248 | Processing iterations: 2/10 [1142.0s elapsed, 0.0 it/s]
2025-05-12 20:33:49 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 20:33:49 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 20:34:49 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [60.1s elapsed, 0.0 it/s]
2025-05-12 20:35:45 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [116.6s elapsed, 0.0 it/s]
2025-05-12 20:36:43 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [173.9s elapsed, 0.0 it/s]
2025-05-12 20:37:39 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [230.7s elapsed, 0.0 it/s]
2025-05-12 20:38:35 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [286.4s elapsed, 0.0 it/s]
2025-05-12 20:39:31 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [342.3s elapsed, 0.0 it/s]
2025-05-12 20:40:28 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [399.5s elapsed, 0.0 it/s]
2025-05-12 20:41:24 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [454.9s elapsed, 0.0 it/s]
2025-05-12 20:42:19 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [510.3s elapsed, 0.0 it/s]
2025-05-12 20:43:15 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [565.7s elapsed, 0.0 it/s]
2025-05-12 20:43:15 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 20:43:15 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 184.0 it/s]
2025-05-12 20:43:15 | INFO     | src.utils:update:248 | Processing iterations: 3/10 [1707.8s elapsed, 0.0 it/s]
2025-05-12 20:43:15 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 20:43:15 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 20:44:10 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [55.6s elapsed, 0.0 it/s]
2025-05-12 20:45:08 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [113.0s elapsed, 0.0 it/s]
2025-05-12 20:46:07 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [172.3s elapsed, 0.0 it/s]
2025-05-12 20:47:03 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [228.9s elapsed, 0.0 it/s]
2025-05-12 20:48:00 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [285.5s elapsed, 0.0 it/s]
2025-05-12 20:48:57 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [342.2s elapsed, 0.0 it/s]
2025-05-12 20:49:54 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [398.9s elapsed, 0.0 it/s]
2025-05-12 20:50:50 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [455.6s elapsed, 0.0 it/s]
2025-05-12 20:51:47 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [512.1s elapsed, 0.0 it/s]
2025-05-12 20:52:43 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [568.8s elapsed, 0.0 it/s]
2025-05-12 20:52:43 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 20:52:43 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 157.8 it/s]
2025-05-12 20:52:43 | INFO     | src.utils:update:248 | Processing iterations: 4/10 [2276.6s elapsed, 0.0 it/s]
2025-05-12 20:52:43 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 20:52:43 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 20:53:41 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [57.8s elapsed, 0.0 it/s]
2025-05-12 20:54:39 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [115.8s elapsed, 0.0 it/s]
2025-05-12 20:55:35 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [171.8s elapsed, 0.0 it/s]
2025-05-12 20:56:35 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [231.4s elapsed, 0.0 it/s]
2025-05-12 20:57:31 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [287.9s elapsed, 0.0 it/s]
2025-05-12 20:58:28 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [344.6s elapsed, 0.0 it/s]
2025-05-12 20:59:25 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [401.2s elapsed, 0.0 it/s]
2025-05-12 21:00:21 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [457.7s elapsed, 0.0 it/s]
2025-05-12 21:01:18 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [514.4s elapsed, 0.0 it/s]
2025-05-12 21:02:15 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [571.1s elapsed, 0.0 it/s]
2025-05-12 21:02:15 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 21:02:15 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 169.0 it/s]
2025-05-12 21:02:15 | INFO     | src.utils:update:248 | Processing iterations: 5/10 [2847.8s elapsed, 0.0 it/s]
2025-05-12 21:02:15 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 21:02:15 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 21:03:11 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [56.5s elapsed, 0.0 it/s]
2025-05-12 21:04:10 | INFO     | src.utils:update:248 | Processing HotFlip queries: 2/10 [114.9s elapsed, 0.0 it/s]
2025-05-12 21:05:06 | INFO     | src.utils:update:248 | Processing HotFlip queries: 3/10 [170.9s elapsed, 0.0 it/s]
2025-05-12 21:06:01 | INFO     | src.utils:update:248 | Processing HotFlip queries: 4/10 [226.6s elapsed, 0.0 it/s]
2025-05-12 21:06:57 | INFO     | src.utils:update:248 | Processing HotFlip queries: 5/10 [282.5s elapsed, 0.0 it/s]
2025-05-12 21:07:55 | INFO     | src.utils:update:248 | Processing HotFlip queries: 6/10 [339.9s elapsed, 0.0 it/s]
2025-05-12 21:08:54 | INFO     | src.utils:update:248 | Processing HotFlip queries: 7/10 [399.7s elapsed, 0.0 it/s]
2025-05-12 21:09:52 | INFO     | src.utils:update:248 | Processing HotFlip queries: 8/10 [457.5s elapsed, 0.0 it/s]
2025-05-12 21:10:48 | INFO     | src.utils:update:248 | Processing HotFlip queries: 9/10 [513.7s elapsed, 0.0 it/s]
2025-05-12 21:11:44 | INFO     | src.utils:update:248 | Processing HotFlip queries: 10/10 [569.6s elapsed, 0.0 it/s]
2025-05-12 21:11:44 | INFO     | src.utils:__init__:239 | Starting Processing target queries: 0/10
2025-05-12 21:11:44 | INFO     | src.utils:update:248 | Processing target queries: 10/10 [0.1s elapsed, 182.9 it/s]
2025-05-12 21:11:44 | INFO     | src.utils:update:248 | Processing iterations: 6/10 [3417.5s elapsed, 0.0 it/s]
2025-05-12 21:11:44 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-12 21:11:44 | INFO     | src.utils:__init__:239 | Starting Processing HotFlip queries: 0/10
2025-05-12 21:12:40 | INFO     | src.utils:update:248 | Processing HotFlip queries: 1/10 [55.9s elapsed, 0.0 it/s]
