2025-05-16 15:13:36 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_conflict-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-16 15:13:39 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-16 15:13:43 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-16 15:13:43 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-16 15:13:43 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-16 15:13:43 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever-cos.json.
2025-05-16 15:13:43 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-16 15:13:43 | INFO     | __main__:main:192 | load retrieval models
2025-05-16 15:13:45 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-16 15:13:45 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 15:13:45 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 15:14:45 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [60.6s elapsed, 0.0 it/s]
2025-05-16 15:15:42 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [116.9s elapsed, 0.0 it/s]
2025-05-16 15:16:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [173.0s elapsed, 0.0 it/s]
2025-05-16 15:17:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [229.1s elapsed, 0.0 it/s]
2025-05-16 15:18:30 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [285.4s elapsed, 0.0 it/s]
2025-05-16 15:19:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [341.6s elapsed, 0.0 it/s]
2025-05-16 15:20:23 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [398.0s elapsed, 0.0 it/s]
2025-05-16 15:21:19 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [454.4s elapsed, 0.0 it/s]
2025-05-16 15:22:16 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [510.8s elapsed, 0.0 it/s]
2025-05-16 15:23:12 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [567.3s elapsed, 0.0 it/s]
2025-05-16 15:23:12 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 15:23:12 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.18 seconds
2025-05-16 15:23:12 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.09 seconds
2025-05-16 15:23:12 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.16 seconds
2025-05-16 15:23:13 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.14 seconds
2025-05-16 15:23:13 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.14 seconds
2025-05-16 15:23:13 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.22 seconds
2025-05-16 15:23:13 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.14 seconds
2025-05-16 15:23:13 | INFO     | src.utils:update:256 | Processing target queries: 7/10 [1.1s elapsed, 6.2 it/s]
2025-05-16 15:23:13 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.17 seconds
2025-05-16 15:23:14 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.19 seconds
2025-05-16 15:23:14 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.19 seconds
2025-05-16 15:23:14 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.7s elapsed, 5.9 it/s]
