2025-05-16 13:44:49 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-16 13:44:51 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-16 13:44:55 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-16 13:44:55 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-16 13:44:55 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-16 13:44:55 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever-cos.json.
2025-05-16 13:44:55 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-16 13:44:55 | INFO     | __main__:main:192 | load retrieval models
2025-05-16 13:44:56 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-16 13:44:56 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 13:44:56 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 13:46:05 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [68.6s elapsed, 0.0 it/s]
2025-05-16 13:47:09 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [133.1s elapsed, 0.0 it/s]
2025-05-16 13:48:14 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [198.1s elapsed, 0.0 it/s]
2025-05-16 13:49:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [262.4s elapsed, 0.0 it/s]
2025-05-16 13:50:22 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [326.4s elapsed, 0.0 it/s]
2025-05-16 13:51:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [389.8s elapsed, 0.0 it/s]
2025-05-16 13:52:27 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [450.8s elapsed, 0.0 it/s]
2025-05-16 13:53:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [510.2s elapsed, 0.0 it/s]
2025-05-16 13:54:32 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [575.5s elapsed, 0.0 it/s]
2025-05-16 13:55:36 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [639.5s elapsed, 0.0 it/s]
2025-05-16 13:55:36 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 13:55:36 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.19 seconds
2025-05-16 13:55:36 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.09 seconds
2025-05-16 13:55:36 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.20 seconds
2025-05-16 13:55:36 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.19 seconds
2025-05-16 13:55:37 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.19 seconds
2025-05-16 13:55:37 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.32 seconds
2025-05-16 13:55:37 | INFO     | src.utils:update:256 | Processing target queries: 6/10 [1.2s elapsed, 4.8 it/s]
2025-05-16 13:55:37 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.19 seconds
2025-05-16 13:55:37 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.24 seconds
2025-05-16 13:55:38 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.29 seconds
2025-05-16 13:55:38 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.27 seconds
2025-05-16 13:55:38 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.3s elapsed, 4.4 it/s]
2025-05-16 13:55:38 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [641.8s elapsed, 0.0 it/s]
2025-05-16 13:55:38 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 13:55:38 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 13:56:47 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [68.7s elapsed, 0.0 it/s]
2025-05-16 13:57:49 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [131.6s elapsed, 0.0 it/s]
2025-05-16 13:58:52 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [194.3s elapsed, 0.0 it/s]
2025-05-16 13:59:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [258.0s elapsed, 0.0 it/s]
2025-05-16 14:01:00 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [322.3s elapsed, 0.0 it/s]
2025-05-16 14:02:00 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [382.3s elapsed, 0.0 it/s]
2025-05-16 14:03:00 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [442.2s elapsed, 0.0 it/s]
2025-05-16 14:04:02 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [504.4s elapsed, 0.0 it/s]
2025-05-16 14:05:02 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [564.4s elapsed, 0.0 it/s]
2025-05-16 14:06:04 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [626.0s elapsed, 0.0 it/s]
2025-05-16 14:06:04 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 14:06:04 | INFO     | __main__:timed:49 | [Iter_1_question_10_removal] took 0.31 seconds
2025-05-16 14:06:05 | INFO     | __main__:timed:49 | [Iter_1_question_11_removal] took 0.31 seconds
2025-05-16 14:06:05 | INFO     | __main__:timed:49 | [Iter_1_question_12_removal] took 0.27 seconds
2025-05-16 14:06:05 | INFO     | __main__:timed:49 | [Iter_1_question_13_removal] took 0.22 seconds
2025-05-16 14:06:05 | INFO     | src.utils:update:256 | Processing target queries: 4/10 [1.1s elapsed, 3.5 it/s]
2025-05-16 14:06:05 | INFO     | __main__:timed:49 | [Iter_1_question_14_removal] took 0.30 seconds
2025-05-16 14:06:06 | INFO     | __main__:timed:49 | [Iter_1_question_15_removal] took 0.31 seconds
2025-05-16 14:06:06 | INFO     | __main__:timed:49 | [Iter_1_question_16_removal] took 0.37 seconds
2025-05-16 14:06:06 | INFO     | src.utils:update:256 | Processing target queries: 7/10 [2.2s elapsed, 3.2 it/s]
2025-05-16 14:06:06 | INFO     | __main__:timed:49 | [Iter_1_question_17_removal] took 0.36 seconds
2025-05-16 14:06:07 | INFO     | __main__:timed:49 | [Iter_1_question_18_removal] took 0.22 seconds
2025-05-16 14:06:07 | INFO     | __main__:timed:49 | [Iter_1_question_19_removal] took 0.30 seconds
2025-05-16 14:06:07 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [3.1s elapsed, 3.3 it/s]
2025-05-16 14:06:07 | INFO     | src.utils:update:256 | Processing iterations: 2/10 [1271.0s elapsed, 0.0 it/s]
2025-05-16 14:06:07 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 14:06:07 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 14:07:12 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [64.8s elapsed, 0.0 it/s]
2025-05-16 14:08:12 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [124.6s elapsed, 0.0 it/s]
2025-05-16 14:09:09 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [182.3s elapsed, 0.0 it/s]
2025-05-16 14:10:07 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [239.6s elapsed, 0.0 it/s]
2025-05-16 14:11:05 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [297.8s elapsed, 0.0 it/s]
2025-05-16 14:12:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [356.4s elapsed, 0.0 it/s]
2025-05-16 14:13:01 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [414.2s elapsed, 0.0 it/s]
2025-05-16 14:13:59 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [472.4s elapsed, 0.0 it/s]
2025-05-16 14:14:57 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [530.2s elapsed, 0.0 it/s]
2025-05-16 14:15:54 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [587.2s elapsed, 0.0 it/s]
2025-05-16 14:15:54 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 14:15:55 | INFO     | __main__:timed:49 | [Iter_2_question_20_removal] took 0.22 seconds
2025-05-16 14:15:55 | INFO     | __main__:timed:49 | [Iter_2_question_21_removal] took 0.15 seconds
2025-05-16 14:15:55 | INFO     | __main__:timed:49 | [Iter_2_question_22_removal] took 0.24 seconds
2025-05-16 14:15:55 | INFO     | __main__:timed:49 | [Iter_2_question_23_removal] took 0.33 seconds
2025-05-16 14:15:55 | INFO     | __main__:timed:49 | [Iter_2_question_24_removal] took 0.20 seconds
