2025-05-18 02:55:22 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides
2025-05-18 02:55:25 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-18 02:55:29 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-18 02:55:29 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-18 02:55:29 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 02:55:29 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-18 02:55:29 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 02:55:29 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 02:55:45 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 02:55:45 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 02:55:45 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 02:56:58 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [72.1s elapsed, 0.0 it/s]
2025-05-18 02:58:08 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [142.8s elapsed, 0.0 it/s]
2025-05-18 02:59:10 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [204.6s elapsed, 0.0 it/s]
2025-05-18 03:00:06 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [260.9s elapsed, 0.0 it/s]
2025-05-18 03:01:03 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [317.2s elapsed, 0.0 it/s]
2025-05-18 03:01:59 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [373.4s elapsed, 0.0 it/s]
2025-05-18 03:02:55 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [429.7s elapsed, 0.0 it/s]
2025-05-18 03:03:52 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [486.1s elapsed, 0.0 it/s]
2025-05-18 03:04:48 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [542.3s elapsed, 0.0 it/s]
2025-05-18 03:05:44 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [598.8s elapsed, 0.0 it/s]
2025-05-18 03:05:44 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 03:05:44 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.21 seconds
2025-05-18 03:05:45 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.17 seconds
2025-05-18 03:05:45 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.28 seconds
2025-05-18 03:05:45 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.31 seconds
2025-05-18 03:05:45 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.21 seconds
2025-05-18 03:05:45 | INFO     | src.utils:update:256 | Processing target queries: 5/10 [1.2s elapsed, 4.1 it/s]
2025-05-18 03:05:46 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.30 seconds
2025-05-18 03:05:46 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.27 seconds
2025-05-18 03:05:46 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.29 seconds
