dataset,retrieval_model,score_function,top_k,adv_pos,data_points,95th_quantile,90th_quantile,85th_quantile,80th_quantile
hotpotqa,ance,cos_sim,20,end,148100,0.004800021648406982,0.0026000142097473145,0.001600027084350586,0.001100003719329834
hotpotqa,ance,cos_sim,20,start,148100,0.013599991798400879,0.010800004005432129,0.009100019931793213,0.007899999618530273
hotpotqa,ance,dot,5,end,37025,3.3918823242187495,1.7627197265624996,1.1002197265624993,0.81005859375
hotpotqa,ance,dot,5,start,37025,10.64370117187499,8.56248779296875,7.296411132812496,6.412268066406251
hotpotqa,contriever,cos_sim,20,end,148100,0.4624999761581421,0.33319997787475586,0.2516000270843506,0.19870001077651978
hotpotqa,contriever,cos_sim,20,start,148100,0.5458999872207642,0.4448999762535095,0.3845999836921692,0.3353999853134155
hotpotqa,contriever,dot,20,end,148100,0.5564000606536865,0.4356999397277832,0.374500036239624,0.3347000598907471
hotpotqa,contriever,dot,20,start,148100,0.7414000540971756,0.6084000885486602,0.5286999404430389,0.4709000587463379
hotpotqa,contriever-ms,cos_sim,20,end,148100,0.32897999286651497,0.2182999849319458,0.16170001029968262,0.11890000104904175
hotpotqa,contriever-ms,cos_sim,20,start,148100,0.542199969291687,0.445900022983551,0.3865000009536743,0.34289997816085815
hotpotqa,contriever-ms,dot,20,end,148100,0.5869998931884766,0.4084000587463379,0.3083000183105469,0.24689984321594238
hotpotqa,contriever-ms,dot,20,start,148100,1.3232499957084656,1.1533000469207764,1.0380998849868774,0.9506001472473145
hotpotqa,minilm,cos_sim,20,end,148100,0.3611999750137329,0.26410001516342163,0.21039998531341553,0.16990000009536743
hotpotqa,minilm,cos_sim,20,start,148100,0.6956000328063965,0.5895000100135803,0.5241999626159668,0.4757000207901001
hotpotqa,mpnet,cos_sim,20,end,148080,0.47651997804641694,0.3531000018119812,0.29089999198913574,0.24788000583648712
hotpotqa,mpnet,cos_sim,20,start,148080,0.7818999886512756,0.6625000238418579,0.5846999883651733,0.5289000272750854
hotpotqa,roberta,cos_sim,20,end,148100,0.4700999855995178,0.33880001306533813,0.2717999815940857,0.2231400132179269
hotpotqa,roberta,cos_sim,20,start,148100,0.7274999618530273,0.609499990940094,0.5413999557495117,0.4909999966621399
mirage,ance,dot,20,end,151180,0.27020263671875,0.17999267578125,0.14019775390625,0.1148681640625
mirage,ance,dot,20,start,151180,3.4425048828125,2.29742431640625,1.741455078125,1.40399169921875
mirage,contriever,dot,20,end,151180,0.5886001586914062,0.3916001319885254,0.29110002517700195,0.22169995307922363
mirage,contriever,dot,20,start,151180,0.518700122833252,0.42239999771118164,0.3671000003814697,0.32760000228881836
mirage,contriever-ms,dot,20,end,151180,0.12539982795715332,0.08420014381408691,0.0652000904083252,0.053800106048583984
mirage,contriever-ms,dot,20,start,151180,0.6604001522064209,0.4581000804901123,0.361299991607666,0.29870009422302246
mirage,minilm,cos_sim,20,end,151180,0.06610000133514404,0.03689998388290405,0.026099979877471924,0.02060002088546753
mirage,minilm,cos_sim,20,start,151180,0.3888000249862671,0.25269997119903564,0.1834999918937683,0.1388000249862671
mirage,mpnet,cos_sim,20,end,151180,0.18900001049041748,0.1039000153541565,0.056800007820129395,0.03329998254776001
mirage,mpnet,cos_sim,20,start,151180,0.6570000052452087,0.5047000050544739,0.4119500070810318,0.30010002851486206
mirage,roberta,cos_sim,20,end,151180,0.0494999885559082,0.031599998474121094,0.023500025272369385,0.018700003623962402
mirage,roberta,cos_sim,20,start,151180,0.44209998846054077,0.3240000009536743,0.2379000186920166,0.1743999719619751
msmarco,contriever,cos_sim,20,end,10058780,0.21069997549057007,0.15609997510910034,0.131600022315979,0.11629998683929443
msmarco,contriever,cos_sim,20,start,10058780,0.3141000270843506,0.24620002508163452,0.2093999981880188,0.18290001153945923
msmarco,contriever,dot,20,end,16680,0.5795849740505217,0.46960012912750243,0.4064550280570983,0.36100006103515625
msmarco,contriever,dot,20,start,16680,0.7460000336170196,0.6252799272537234,0.5452549338340759,0.4802999973297119
msmarco,contriever,dot,5,end,4170,0.6036500155925747,0.4751900553703309,0.4138249516487121,0.36590003967285156
msmarco,contriever,dot,5,start,4170,0.7731600105762481,0.654749941825867,0.5658900737762451,0.4939001083374025
nq,ance,cos_sim,20,end,69040,0.006900012493133545,0.003000020980834961,0.0018000006675720215,0.0012000203132629395
nq,ance,cos_sim,20,start,69040,0.011500000953674316,0.008199989795684814,0.006200015544891357,0.0048999786376953125
nq,ance,dot,5,end,17260,3.806195068359375,1.6750122070312505,1.025335693359375,0.7435180664062501
nq,ance,dot,5,start,17260,8.9462158203125,6.393896484375002,5.001348876953122,4.00079345703125
nq,contriever,cos_sim,20,end,69040,0.5255899608135217,0.38029998540878296,0.2962999939918518,0.24150002002716064
nq,contriever,cos_sim,20,start,69040,0.5106899887323374,0.4103999733924866,0.34460002183914185,0.289900004863739
nq,contriever,dot,20,end,69040,0.6925700426101682,0.5524000406265259,0.4763999104499817,0.41837987899780305
nq,contriever,dot,20,start,69040,0.7155000686645507,0.5550999879837036,0.46720013618469236,0.40699994564056396
nq,contriever-ms,cos_sim,20,end,69040,0.33633998036384527,0.18809998035430908,0.11729997396469116,0.07910001277923584
